bookID,title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,Year,publisher,Publisher trim,Publisher clean,Left function
19673,Sense and Sensibility,Jane Austen/Claudia L. Johnson,4.07,269,768,68,30/10/2001,2001,Thomas Nelson,,,
40492,Schmidt Delivered (Schmidt  #2),Louis Begley,3.61,320,107,12,30/10/2001,2001,HarperTorch,,,
21544,The Nightingale's Song,Kathleen Eschenburg,3.88,384,16,3,30/10/2001,2001,Ballantine Books,,,
13484,Mao II,Don DeLillo/Marianne VÃ©ron,3.68,278,10,1,27/10/2001,2001,W. W. Norton & Company,,,
6624,The Tale of Genji: Scenes from the World's First Novel (Illustrated Japanese Classics),Murasaki Shikibu/Masayuki Miyata/JakuchÅ Seitouchi/Donald Keene/H. Mack Horton/Ayako Watanabe/Michiko Hiraoka,3.74,238,46,5,26/10/2001,2001,Basic Books,,,
31740,Getting Rid of Bradley,Jennifer Crusie,3.71,248,12528,596,25/10/2001,2001,Pocket Books,,,
29998,Zazie in the Metro,Raymond Queneau/Barbara Wright/Gilbert Adair,3.72,157,3917,195,25/10/2001,2001,Babel,,,
4251,Dark Rivers of the Heart / Sole Survivor / Intensity,Dean Koontz,4.41,700,602,10,25/10/2001,2001,Kodansha America,,,
10638,Contemporary Political Philosophy,Will Kymlicka,4,512,594,17,25/10/2001,2001,Oxford University Press  USA,,,
24970,Answered Prayers,Truman Capote,3.49,192,102,17,25/10/2001,2001,Bright Sky Press,,,
31089,The Magicians' Guild (Black Magician Trilogy  #1),Trudi Canavan,3.95,517,194,16,24/10/2001,2001,Penguin Classics,Penguin Classics,Penguin Classics,Penguin
26919,A Year in Chocolate: Four Seasons of Unforgettable Desserts,Alice Medrich,3.74,152,28,1,24/10/2001,2001,Penguin Books Ltd,Penguin Books Ltd,Penguin Books Ltd,Penguin
23840,Made in America: An Informal History of the English Language in the United States,Bill Bryson,3.91,364,10836,613,23/10/2001,2001,MIRA,,,
27550,The Harry Bosch Novels  Volume 1: The Black Echo / The Black Ice / The Concrete Blonde (Harry Bosch #1-3),Michael Connelly,4.34,794,2023,83,22/10/2001,2001,Warner Books (NY),,,
27847,The Last Hero: A Discworld Fable (Discworld  #27),Terry Pratchett/Paul Kidby,4.17,160,830,83,18/10/2001,2001,Voyager,,,
28561,XÃ©nocide (Ender's Saga  #3),Orson Scott Card,3.79,573,73,3,18/10/2001,2001,Avon Books,,,
12497,Talking Philosophy: Dialogues with Fifteen Leading Philosophers,Bryan Magee/Isaiah Berlin/Charles Taylor/Herbert Marcuse/William Barrett/Anthony Quinton/A.J. Ayer/Bernard Williams/R. M. Hare/Willard Van Orman Quine/John Rogers Searle/Noam Chomsky/Hilary Putnam/Ronald Dworkin/Iris Murdoch/Ernest Gellner,4.06,288,24,4,18/10/2001,2001,Little  Brown & Company,,,
17862,The Annotated Huckleberry Finn,Mark Twain/Michael Patrick Hearn/E.W. Kemble,3.82,656,185,18,17/10/2001,2001,OUP Oxford,,,
8801,Verbatim: From the bawdy to the sublime  the best writing on language for word lovers  grammar mavens  and armchair linguists,Erin McKean,3.59,372,124,17,17/10/2001,2001,J'ai lu,,,
